Province,District,DS Division,GN Division,
Central,Kandy,Udunuwara,Appallagoda West,
Central,Kandy,Doluwa,Galoya,
Central,Kandy,Doluwa,Haloya,
Central,Kandy,Doluwa,Wariyagala,
Central,Kandy,Doluwa,Megoda Kalugamuwa,
Central,Kandy,Doluwa,Ganegoda,
Central,Kandy,Doluwa,Godawela,
Central,Kandy,Doluwa,Nawa Gurukele,
Central,Kandy,Doluwa,Nillamba,
Central,Kandy,Doluwa,Nawa Nillamba,
Central,Kandy,Doluwa,Palledelthota,
Central,Kandy,Doluwa,Gurukele,
Central,Kandy,Doluwa,Legumdeniya,
Central,Kandy,Doluwa,Orayanwatta,
Central,Kandy,Doluwa,Doluwa,
Central,Kandy,Doluwa,Inguruwatta,
Central,Kandy,Doluwa,Naranvita,
Central,Kandy,Doluwa,Atuwewatta,
Central,Kandy,Doluwa,Gampolawatta,
Central,Kandy,Doluwa,Wewathenna,
Central,Kandy,Doluwa,Thundeniya,
Central,Kandy,Doluwa,Kahawatta,
Central,Kandy,Doluwa,Gothatuwela,
Central,Kandy,Doluwa,Millagahamula,
Central,Kandy,Doluwa,Pabadeniya,
Central,Kandy,Doluwa,Panvilathenna,
Central,Kandy,Doluwa,Masgolla,
Central,Kandy,Doluwa,Thumpelawaka,
Central,Kandy,Doluwa,Mulgama,
Central,Kandy,Doluwa,Ududeniya,
Central,Kandy,Doluwa,Hunugala,
Central,Kandy,Doluwa,Rajathalawa,
Central,Kandy,Doluwa,Pupuressa,
Central,Kandy,Doluwa,Pitawala,
Central,Kandy,Pathahewaheta,Uduwelawatta Colony,
Central,Kandy,Pathahewaheta,Galthenna,
Central,Kandy,Pathahewaheta,Wathuliyedda,
Central,Kandy,Pathahewaheta,Monarangala,
Central,Kandy,Pathahewaheta,Nehiniwela,
Central,Kandy,Pathahewaheta,Godompitiya,
Central,Kandy,Pathahewaheta,Hippola,
Central,Kandy,Pathahewaheta,Kossinna,
Central,Kandy,Pathahewaheta,Thalathuoya West,
Central,Kandy,Pathahewaheta,Pussathenna,
Central,Kandy,Pathahewaheta,Pinnagolla,
Central,Kandy,Pathahewaheta,Singharagama,
Central,Kandy,Pathahewaheta,Haragama,
Central,Kandy,Pathahewaheta,Kapuliyadda East,
Central,Kandy,Pathahewaheta,Kapuliyadda West,
Central,Kandy,Pathahewaheta,Doolmure,
Central,Kandy,Pathahewaheta,Bootawatta North,
Central,Kandy,Pathahewaheta,Thalathuoya East,
Central,Kandy,Pathahewaheta,Ankelipitiya,
Central,Kandy,Pathahewaheta,Batagalla,
Central,Kandy,Pathahewaheta,Ethulgama East,
Central,Kandy,Pathahewaheta,Ethulgama North,
Central,Kandy,Pathahewaheta,Uduwela Pallegama East,
Central,Kandy,Pathahewaheta,Uduwela Pallegama West,
Central,Kandy,Pathahewaheta,Uduwela Pallegama South,
Central,Kandy,Pathahewaheta,Uduwela Udagama West,
Central,Kandy,Pathahewaheta,Uduwela Udagama East,
Central,Kandy,Pathahewaheta,Ratemulla,
Central,Kandy,Pathahewaheta,Pooliyadda,
Central,Kandy,Pathahewaheta,Ethulgama West,
Central,Kandy,Pathahewaheta,Ethulgama South,
Central,Kandy,Pathahewaheta,Haputhale Egodagama,
Central,Kandy,Pathahewaheta,Haputhale Udagama,
Central,Kandy,Pathahewaheta,Moragolla,
Central,Kandy,Pathahewaheta,Haputhale Pallegama,
Central,Kandy,Pathahewaheta,Nugaliyadda Ihala,
Central,Kandy,Pathahewaheta,Nugaliyadda Pahala,
Central,Kandy,Pathahewaheta,Bootawatta South,
Central,Kandy,Pathahewaheta,Godamunna West,
Central,Kandy,Pathahewaheta,Narangasthenna,
Central,Kandy,Pathahewaheta,Godalawela,
Central,Kandy,Pathahewaheta,Bolepa,
Central,Kandy,Pathahewaheta,Pathamailapitiya South,
Central,Kandy,Pathahewaheta,Pathamailapitiya North,
Central,Kandy,Pathahewaheta,Udamailapitiya North,
Central,Kandy,Pathahewaheta,Damunugolla,
Central,Kandy,Pathahewaheta,Marassana,
Central,Kandy,Pathahewaheta,Madadeniya,
Central,Kandy,Pathahewaheta,Welegama,
Central,Kandy,Pathahewaheta,Godamunna East,
Central,Kandy,Pathahewaheta,Letiyagolla,
Central,Kandy,Pathahewaheta,Sriyagama,
Central,Kandy,Pathahewaheta,Medagama Udagama,
Central,Kandy,Pathahewaheta,Medagama Pallegama,
Central,Kandy,Pathahewaheta,Kandewela,
Central,Kandy,Pathahewaheta,Elikewela,
Central,Kandy,Pathahewaheta,Meeruppa,
Central,Kandy,Pathahewaheta,Kethigannawela,
Central,Kandy,Pathahewaheta,Udamailapitiya South,
Central,Kandy,Pathahewaheta,Galagoda,
Central,Kandy,Pathahewaheta,Hewavissa East,
Central,Kandy,Pathahewaheta,Hewavissa West,
Central,Kandy,Pathahewaheta,Bawlana,
Central,Kandy,Pathahewaheta,Oluwawatta,
Central,Kandy,Pathahewaheta,Kiriwanagoda,
Central,Kandy,Pathahewaheta,Ududeniya Madige,
Central,Kandy,Pathahewaheta,Unuvinna East,
Central,Kandy,Pathahewaheta,Unuvinna West,
Central,Kandy,Pathahewaheta,Ududeniya,
Central,Kandy,Pathahewaheta,Bopitiya,
Central,Kandy,Pathahewaheta,Pothgoda,
Central,Kandy,Pathahewaheta,Kahambiliyawa,
Central,Kandy,Pathahewaheta,Neelawala,
Central,Kandy,Delthota,Perawatta West,
Central,Kandy,Delthota,Perawatta East,
Central,Kandy,Delthota,Palugama,
Central,Kandy,Delthota,Udadelthota,
Central,Kandy,Delthota,Galaha,
Central,Kandy,Delthota,Suduwella,
Central,Kandy,Delthota,Greatweliya,
Central,Kandy,Delthota,Bawlanawatta Janapadaya,
Central,Kandy,Delthota,Maussawa,
Central,Kandy,Delthota,Wanahapuwa,
Central,Kandy,Delthota,Bopitiya Nagaraya,
Central,Kandy,Delthota,Medakekila,
Central,Kandy,Delthota,Karagaskada South,
Central,Kandy,Delthota,Karagaskada North,
Central,Kandy,Delthota,Gonangoda,
Central,Kandy,Delthota,Kandegama,
Central,Kandy,Delthota,Wetakepotha,
Central,Kandy,Delthota,Pattiyagama Pallegama,
Central,Kandy,Delthota,Kiriwanaketiya,
Central,Kandy,Delthota,Kolambissa West,
Central,Kandy,Delthota,Murapola West,
Central,Kandy,Delthota,Murapola East,
Central,Kandy,Delthota,Kolambissa East,
Central,Kandy,Delthota,Nawaneliya,
Central,Kandy,Delthota,Kotagepitiya,
Central,Kandy,Delthota,Wadiyagoda,
Central,Kandy,Delthota,Pattiyagama Udagama,
Central,Kandy,Delthota,Pattiyagama Gabadagama North,
Central,Kandy,Delthota,Pattiyagama Gabadagama South,
Central,Kandy,Udapalatha,Egoda Kalugamuwa,
Central,Kandy,Udapalatha,Udovita,
Central,Kandy,Udapalatha,Kirinda,
Central,Kandy,Udapalatha,Galgediyawa,
Central,Kandy,Udapalatha,Ranawala,
Central,Kandy,Udapalatha,Bowala,
Central,Kandy,Udapalatha,Rathmalkaduwa,
Central,Kandy,Udapalatha,Hapugaspitiya,
Central,Kandy,Udapalatha,Unambuwa,
Central,Kandy,Udapalatha,Ilangawatta,
Central,Kandy,Udapalatha,Kahatapitiya,
Central,Kandy,Udapalatha,Bothalapitiya,
Central,Kandy,Udapalatha,Gampola East,
Central,Kandy,Udapalatha,Mount Temple,
Central,Kandy,Udapalatha,Keerapane,
Central,Kandy,Udapalatha,Sinhapitiya North,
Central,Kandy,Udapalatha,Sinhapitiya South,
Central,Kandy,Udapalatha,Gampola West,
Central,Kandy,Udapalatha,Polkumbura,
Central,Kandy,Udapalatha,Illawathura,
Central,Kandy,Udapalatha,Angammana East,
Central,Kandy,Udapalatha,Angammana West,
Central,Kandy,Udapalatha,Aregoda,
Central,Kandy,Udapalatha,Kurukude,
Central,Kandy,Udapalatha,Kudamake,
Central,Kandy,Udapalatha,Godagama,
Central,Kandy,Udapalatha,Jayamalapura,
Central,Kandy,Udapalatha,Amunupuraya,
Central,Kandy,Udapalatha,Wattehena,
Central,Kandy,Udapalatha,Millagaspitiya,
Central,Kandy,Udapalatha,Udagama,
Central,Kandy,Udapalatha,Hunukotugama,
Central,Kandy,Udapalatha,Dunukeulla,
Central,Kandy,Udapalatha,Wanahapuwa,
Central,Kandy,Udapalatha,Ihalagama,
Central,Kandy,Udapalatha,Paradeka,
Central,Kandy,Udapalatha,Amuhena,
Central,Kandy,Udapalatha,Delpitiya,
Central,Kandy,Udapalatha,Nawadevita,
Central,Kandy,Udapalatha,Galatha,
Central,Kandy,Udapalatha,Pallegama,
Central,Kandy,Udapalatha,Pussellawa,
Central,Kandy,Udapalatha,Wahugapitiya,
Central,Kandy,Udapalatha,Pussellawagama,
Central,Kandy,Udapalatha,Doragala,
Central,Kandy,Udapalatha,Kekulanda,
Central,Kandy,Udapalatha,Weliganga,
Central,Kandy,Udapalatha,Kalugalhinna,
Central,Kandy,Udapalatha,Mawathura,
Central,Kandy,Ganga Ihala Korale,Kohowala,
Central,Kandy,Ganga Ihala Korale,Polmalagama,
Central,Kandy,Ganga Ihala Korale,Galpaya,
Central,Kandy,Ganga Ihala Korale,Herakola,
Central,Kandy,Ganga Ihala Korale,Wallahagoda,
Central,Kandy,Ganga Ihala Korale,Maligapurana,
Central,Kandy,Ganga Ihala Korale,Gampolawela,
Central,Kandy,Ganga Ihala Korale,Ethgala North,
Central,Kandy,Ganga Ihala Korale,Thembiligala,
Central,Kandy,Ganga Ihala Korale,Pellapitiya North,
Central,Kandy,Ganga Ihala Korale,Malwattagama,
Central,Kandy,Ganga Ihala Korale,Giraulla,
Central,Kandy,Ganga Ihala Korale,Karagala,
Central,Kandy,Ganga Ihala Korale,Wetakedeniya,
Central,Kandy,Ganga Ihala Korale,Uduwella,
Central,Kandy,Ganga Ihala Korale,Patithalawa,
Central,Kandy,Ganga Ihala Korale,Kelly Group,
Central,Kandy,Ganga Ihala Korale,Alugolla,
Central,Kandy,Ganga Ihala Korale,Gemunupura,
Central,Kandy,Ganga Ihala Korale,Yatapana,
Central,Kandy,Ganga Ihala Korale,Pellapitiya South,
Central,Kandy,Ganga Ihala Korale,Ulapane North,
Central,Kandy,Ganga Ihala Korale,Udagama,
Central,Kandy,Ganga Ihala Korale,Ethgala West,
Central,Kandy,Ganga Ihala Korale,Ethgala East,
Central,Kandy,Ganga Ihala Korale,Sinhapura,
Central,Kandy,Ganga Ihala Korale,Ulapane South,
Central,Kandy,Ganga Ihala Korale,Pitakanda,
Central,Kandy,Ganga Ihala Korale,Udahenthenna,
Central,Kandy,Ganga Ihala Korale,Rakshawa,
Central,Kandy,Ganga Ihala Korale,Miyanagolla,
Central,Kandy,Pasbage Korale,Pallegama,
Central,Kandy,Pasbage Korale,Warakawa,
Central,Kandy,Pasbage Korale,Weligodawatta,
Central,Kandy,Pasbage Korale,Dandubediruppa,
Central,Kandy,Pasbage Korale,Penithuduwa,
Central,Kandy,Pasbage Korale,Pahala Rambukpitiya,
Central,Kandy,Pasbage Korale,Uda Rambukpitiya,
Central,Kandy,Pasbage Korale,Balanthota North,
Central,Kandy,Pasbage Korale,Weligampola,
Central,Kandy,Pasbage Korale,Karahandungala,
Central,Kandy,Pasbage Korale,Nawalapitiya South,
Central,Kandy,Pasbage Korale,Nawalapitiya North,
Central,Kandy,Pasbage Korale,Nawalapitiya West,
Central,Kandy,Pasbage Korale,Nawalapitiya East,
Central,Kandy,Pasbage Korale,Imbulpitiya,
Central,Kandy,Pasbage Korale,Greenwood,
Central,Kandy,Pasbage Korale,Bawwagama,
Central,Kandy,Pasbage Korale,Kendopitiya,
Central,Kandy,Pasbage Korale,Aluthgama,
Central,Kandy,Pasbage Korale,Balanthota South,
Central,Kandy,Pasbage Korale,Dekinda,
Central,Kandy,Pasbage Korale,Mapakanda North,
Central,Kandy,Pasbage Korale,Inguruoya North,
Central,Kandy,Pasbage Korale,Kadiyanlena,
Central,Kandy,Pasbage Korale,Westhole,
Central,Kandy,Pasbage Korale,Inguruoya South,
Central,Kandy,Pasbage Korale,Mapakanda South,
Central,Kandy,Pasbage Korale,Wewegama,
Central,Kandy,Pasbage Korale,Hydree,
Central,Matale,Galewela,Wetakoluwewa,
Central,Matale,Galewela,Dewahoowa Colony 2,
Central,Matale,Galewela,Makulugaswewa,
Central,Matale,Galewela,Ibbankatuwa,
Central,Matale,Galewela,Thalakiriyagama,
Central,Matale,Galewela,Thennakonpura,
Central,Matale,Galewela,Dandubendiruppa,
Central,Matale,Galewela,Dewahoowa Colony 1,
Central,Matale,Galewela,Bulanawewa,
Central,Matale,Galewela,Pahala Diggala,
Central,Matale,Galewela,Meewalapathaha,
Central,Matale,Galewela,Pahala Wewa,
Central,Matale,Galewela,Yatigalpotta,
Central,Matale,Galewela,Kumbukgolla,
Central,Matale,Galewela,Kosgahahinna,
Central,Matale,Galewela,Ralalerotawewa,
Central,Matale,Galewela,Moragolla,
Central,Matale,Galewela,Pibidunugama,
Central,Matale,Galewela,Aluthwewa,
Central,Matale,Galewela,Bambaragaswewa,
Central,Matale,Galewela,Beliyakanda,
Central,Matale,Galewela,Silwathgama,
Central,Matale,Galewela,Walaswewa,
Central,Matale,Galewela,Galapamula,
Central,Matale,Galewela,Damunumulla,
Central,Matale,Galewela,Pattiwela,
Central,Matale,Galewela,Nilagama,
Central,Matale,Galewela,Hombawa,
Central,Matale,Galewela,Silwathgama,
Central,Matale,Galewela,Walaswewa,
Central,Matale,Galewela,Galapamula,
Central,Matale,Galewela,Damunumulla,
Central,Matale,Galewela,Nabadagahawatta,
Central,Matale,Galewela,Galewela Town,
Central,Matale,Galewela,Pathkolagolla,
Central,Matale,Galewela,Kospotha,
Central,Matale,Galewela,Ranwediyawa,
Central,Matale,Galewela,Pahala Bambawa,
Central,Matale,Galewela,Danduyaya,
Central,Matale,Galewela,Dambagolla,
Central,Matale,Galewela,Ihala Bambawa,
Central,Matale,Galewela,Siyambalagahawela,
Central,Matale,Galewela,Pihilyaya,
Central,Matale,Galewela,Medabedda North,
Central,Matale,Galewela,Divulgaskotuwa,
Central,Matale,Galewela,Hathadukkuwa,
Central,Matale,Galewela,Beligamuwa,
Central,Matale,Galewela,Medabedda South,
Central,Matale,Galewela,Wahakotte,
Central,Matale,Galewela,Galgodayaya,
Central,Matale,Galewela,Palapathwala,
Central,Matale,Galewela,Dembawa,
Central,Matale,Galewela,Elamalpotha,
Central,Matale,Galewela,Yatiwehera,
Central,Matale,Galewela,Lenawala,
Central,Matale,Galewela,Hewanwela,
Central,Matale,Galewela,Wegodapola,
Central,Matale,Galewela,Kendangamuwa,
Central,Matale,Galewela,Madipola,
Central,Matale,Dambulla,Siyambala Wewa,
Central,Matale,Dambulla,Avudangawa,
Central,Matale,Dambulla,Gedigaswalana,
Central,Matale,Dambulla,Pidurangala,
Central,Matale,Dambulla,Thalkote,
Central,Matale,Dambulla,Digampathaha,
Central,Matale,Dambulla,Inamaluwa,
Central,Matale,Dambulla,Nagalawewa,
Central,Matale,Dambulla,Pothana,
Central,Matale,Dambulla,Kimbissa,
Central,Matale,Dambulla,Egodawewa,
Central,Matale,Dambulla,Palutawa,
Central,Matale,Dambulla,Sigiriya,
Central,Matale,Dambulla,Mailattawa,
Central,Matale,Dambulla,Pol Attawa,
Central,Matale,Dambulla,Nikawatawana,
Central,Matale,Dambulla,Kumbukkandanwala,
Central,Matale,Dambulla,Bellanneoya,
Central,Matale,Dambulla,Rathmalkatuwa,
Central,Matale,Dambulla,Welihena,
Central,Matale,Dambulla,Etawarahena,
Central,Matale,Dambulla,Pallegama,
Central,Matale,Dambulla,Bulagala,
Central,Matale,Dambulla,Pelvehera,
Central,Matale,Dambulla,Kandalama,
Central,Matale,Dambulla,Pahala Erevula,
Central,Matale,Dambulla,Ihala Ereula,
Central,Matale,Dambulla,Welangolla,
Central,Matale,Dambulla,Wewala Wewa,
Central,Matale,Dambulla,Yakkuragala North,
Central,Matale,Dambulla,Vilhatha,
Central,Matale,Dambulla,Athuparayaya,
Central,Matale,Dambulla,Pahala Wewa,
Central,Matale,Dambulla,Dambulla Town,
Central,Matale,Dambulla,Dambulugama,
Central,Matale,Dambulla,Haluapullana Wewa,
Central,Matale,Dambulla,Pohoranwewa,
Central,Matale,Dambulla,Yapagama,
Central,Matale,Dambulla,Rathmalgaha Ela,
Central,Matale,Dambulla,Yakkuragala South,
Central,Matale,Dambulla,Kalundewa Aluthgama,
Central,Matale,Dambulla,Angunawel Pelessa,
Central,Matale,Dambulla,Kalogaha Ela,
Central,Matale,Dambulla,Thittawelgolla,
Central,Matale,Dambulla,Moragollewa,
Central,Matale,Dambulla,Kapuwatta,
Central,Matale,Dambulla,Kiralagolla,
Central,Matale,Dambulla,Wavulambe,
Central,Matale,Dambulla,Embulambe,
Central,Matale,Dambulla,Puwak Attawala,
Central,Matale,Dambulla,Kalundewa Paranagama,
Central,Matale,Dambulla,Walgamwewa,
Central,Matale,Dambulla,Kiralessa,
Central,Matale,Dambulla,Pannampitiya,
Central,Matale,Dambulla,Welamitiyawa,
Central,Matale,Dambulla,Etha Bendiwewa,
Central,Matale,Dambulla,Lenadora North,
Central,Matale,Dambulla,Lenadora South,
Central,Matale,Dambulla,Nayakumbura,
Central,Matale,Naula,Ussattawa,
Central,Matale,Naula,Nikula,
Central,Matale,Naula,Serudandapola,
Central,Matale,Naula,Haduwa,
Central,Matale,Naula,Bambaragahawatta,
Central,Matale,Naula,Dambagolla,
Central,Matale,Naula,Helambagahawatta,
Central,Matale,Naula,Pubbiliya,
Central,Matale,Naula,Thalagoda,
Central,Matale,Naula,Maragamuwa,
Central,Matale,Naula,Haduwela,
Central,Matale,Naula,Dodamattawela,
Central,Matale,Naula,Karavilahena,
Central,Matale,Naula,Bobella,
Central,Matale,Naula,Bibila,
Central,Matale,Naula,Murutholuwa,
Central,Matale,Naula,Mailpitiya,
Central,Matale,Naula,Wewattawa,
Central,Matale,Naula,Penalaboda,
Central,Matale,Naula,Naula,
Central,Matale,Naula,Meegaha Ela,
Central,Matale,Naula,Bowathenna Watta,
Central,Matale,Naula,Koombiyangahaela,
Central,Matale,Naula,Millagahamula Thenna,
Central,Matale,Naula,Medapihilla,
Central,Matale,Naula,Kadawatha,
Central,Matale,Naula,Galporugolla,
Central,Matale,Naula,Elagamuwa,
Central,Matale,Naula,Kongahawela,
Central,Matale,Naula,Rajawela,
Central,Matale,Naula,Gan Imayaya,
Central,Matale,Naula,Moragahamada,
Central,Matale,Naula,Pilihudugolla Pahalagama,
Central,Matale,Naula,Pilihudugolla Ihalagama,
Central,Matale,Naula,Arangala,
Central,Matale,Naula,Habaragahamada,
Central,Matale,Naula,Elhena,
Central,Matale,Naula,Diyankaduwa,
Central,Matale,Naula,Alugolla,
Central,Matale,Naula,Nalanda,
Central,Matale,Naula,Wambatuyaya,
Central,Matale,Naula,Meegolla,
Central,Matale,Naula,Ududeniya,
Central,Matale,Naula,Hapugasyaya,
Central,Matale,Naula,Lihinipitiya,
Central,Matale,Naula,Senagama,
Central,Matale,Naula,Andawala,
Central,Matale,Naula,Opalgala,
Central,Matale,Naula,Ambana,
Central,Matale,Naula,Moragolla,
Central,Matale,Naula,Galboda,
Central,Matale,Naula,Kambarawa,
Central,Matale,Pallepola,Janakagama,
Central,Matale,Pallepola,Nilannoruwa Colony,
Central,Matale,Pallepola,Aluthgama,
Central,Matale,Pallepola,Demada Oya,
Central,Matale,Pallepola,Mananwatta,
Central,Matale,Pallepola,Nilannoruwa,
Central,Matale,Pallepola,Thalakiriyawa,
Central,Matale,Pallepola,Kirioruwa,
Central,Matale,Pallepola,Kosgolla,
Central,Matale,Pallepola,Nagahapola,
Central,Matale,Pallepola,Bomeruwa,
Central,Matale,Pallepola,Kobbevehera,
Central,Matale,Pallepola,Millawana Pahalagama,
Central,Matale,Pallepola,Millawana Medagama,
Central,Matale,Pallepola,Kandewatta,
Central,Matale,Pallepola,Mahayayawatta,
Central,Matale,Pallepola,Medalanda,
Central,Matale,Pallepola,Walmoruwa,
Central,Matale,Pallepola,Moragaspitiya,
Central,Matale,Pallepola,Akuramboda,
Central,Matale,Pallepola,Dewarammulla,
Central,Matale,Pallepola,Millawana Ihalagama,
Central,Matale,Pallepola,Ambokka,
Central,Matale,Pallepola,Maningamuwa West,
Central,Matale,Pallepola,Maningamuwa East,
Central,Matale,Pallepola,Koswatta,
Central,Matale,Pallepola,Ekamuthugama,
Central,Matale,Pallepola,Ambokudena,
Central,Matale,Pallepola,Koholanwala,
Central,Matale,Pallepola,Udurampelessa,
Central,Matale,Pallepola,Ehelepola,
Central,Matale,Pallepola,Pallepola North,
Central,Matale,Pallepola,Monaravila,
Central,Matale,Pallepola,Galahitiyagama,
Central,Matale,Pallepola,Rusigama Ihalagama,
Central,Matale,Pallepola,Rusigama Pahalagama,
Central,Matale,Pallepola,Pallepola South,
Central,Matale,Pallepola,Kinigama,
Central,Matale,Pallepola,Paldeniya,
Central,Matale,Pallepola,Dodamgasyaya,
Central,Matale,Pallepola,Ariyagama,
Central,Matale,Pallepola,Polwatta,
Central,Matale,Pallepola,Thembilideniya North,
Central,Matale,Pallepola,Dimbulgamuwa,
Central,Matale,Yatawatta,Udagama West,
Central,Matale,Yatawatta,Selagama,
Central,Matale,Yatawatta,Selagama East,
Central,Matale,Yatawatta,Thembilideniya,
Central,Matale,Yatawatta,Mathale North,
Central,Matale,Yatawatta,Kavudupelella,
Central,Matale,Yatawatta,Mahawela,
Central,Matale,Yatawatta,Mahawela West,
Central,Matale,Yatawatta,Delgolla,
Central,Matale,Yatawatta,Galagama,
Central,Matale,Yatawatta,Nagolla,
Central,Matale,Yatawatta,Udagama,
Central,Matale,Yatawatta,Urulewatta,
Central,Matale,Yatawatta,Yatawatta,
Central,Matale,Yatawatta,Mediyapola,
Central,Matale,Yatawatta,Nikagolla,
Central,Matale,Yatawatta,Nikagolla North,
Central,Matale,Yatawatta,Dikkumbura West,
Central,Matale,Yatawatta,Rathalawewa,
Central,Matale,Yatawatta,Dikkumbura,
Central,Matale,Yatawatta,Wattegedara,
Central,Matale,Yatawatta,Galaliyadda,
Central,Matale,Yatawatta,Muruthawatta,
Central,Matale,Yatawatta,Deevilla North,
Central,Matale,Yatawatta,Deevilla,
Central,Matale,Yatawatta,Dangan Place,
Central,Matale,Yatawatta,Alokagama,
Central,Matale,Yatawatta,Walpola,
Central,Matale,Yatawatta,Maligathenna,
Central,Matale,Yatawatta,Aluthwatta,
Central,Matale,Yatawatta,Ambanpola,
Central,Matale,Yatawatta,Lakshahena,
Central,Matale,Yatawatta,Deevilla South,
Central,Matale,Yatawatta,Gammulla,
Central,Matale,Yatawatta,Mottuwela,
Central,Matale,Yatawatta,Idangama,
Central,Matale,Yatawatta,Udasgiriya,
Central,Matale,Yatawatta,Ethipallawala,
Central,Matale,Yatawatta,Aluthgama North,
Central,Matale,Yatawatta,Aluthgama,
Central,Matale,Yatawatta,Pamunuwa,
Central,Matale,Yatawatta,Walawela,
Central,Matale,Yatawatta,Unaweruwa,
Central,Matale,Yatawatta,Madadeniya,
Central,Matale,Yatawatta,Mathalapitiya,
Central,Matale,Yatawatta,Mathalapitiya South,
Central,Matale,Yatawatta,Rathninda,
Central,Matale,Yatawatta,Asgiri Dorakumbura,
Central,Matale,Yatawatta,Asgiri Dorakumbura East,
Central,Matale,Yatawatta,Polwatta,
Central,Matale,Yatawatta,Dullewa,
Central,Matale,Yatawatta,Dullewa East,
Central,Matale,Yatawatta,Thalgahagoda,
Central,Matale,Yatawatta,Daluwela,
Central,Matale,Yatawatta,Ethipola,
Central,Matale,Yatawatta,Ethipola West,
Central,Matale,Matale,Narangamuwa,
Central,Matale,Matale,Madawala Ulpatha,
Central,Matale,Matale,Thalagasyaya,
Central,Matale,Matale,Madawala,
Central,Matale,Matale,Rajjammana,
Central,Matale,Matale,Moragahamada,
Central,Matale,Matale,Hathamunagala,
Central,Matale,Matale,Ankanda,
Central,Matale,Matale,Puwakpitiya,
Central,Matale,Matale,Walliwela,
Central,Matale,Matale,Galwadukumbura,
Central,Matale,Matale,Dombawela,
Central,Matale,Matale,Kawatayamuna,
Central,Matale,Matale,Eriyagolla,
Central,Matale,Matale,Imbulandanda,
Central,Matale,Matale,Golahenwatta,
Central,Matale,Matale,Parana Dombawela,
Central,Matale,Matale,Ellepola,
Central,Matale,Matale,Palapathwala,
Central,Matale,Matale,Kottagoda,
Central,Matale,Matale,Owala Polwatta,
Central,Matale,Matale,Makulgaharuppa,
Central,Matale,Matale,Udugama,
Central,Matale,Matale,Kirigalpotta,
Central,Matale,Matale,Dunkalawatta,
Central,Matale,Matale,Dorakumbura,
Central,Matale,Matale,Biridewala,
Central,Matale,Matale,Aluvihare,
Central,Matale,Matale,Dikkiriya,
Central,Matale,Matale,Parawatta,
Central,Matale,Matale,Kaludewala,
Central,Matale,Matale,Mandandawela,
Central,Matale,Matale,Bogahakotuwa,
Central,Matale,Matale,Harasgama,
Central,Matale,Matale,Kandegedara,
Central,Matale,Matale,Malwatta,
Central,Matale,Matale,Vihara Road,
Central,Matale,Matale,Muslim Town,
Central,Matale,Matale,Oya Pahala,
Central,Matale,Matale,Gongawela,
Central,Matale,Matale,Sinhala Town,
Central,Matale,Matale,Dodamdeniya,
Central,Matale,Matale,Hulangamuwa South,
Central,Matale,Matale,18,220
Central,Matale,Matale,Diyabubula,
Central,Matale,Matale,Maligathenna,
Central,Matale,Matale,Nagolla,
Central,Matale,Matale,Pandivita,
Central,Matale,Matale,Pandivita Welagama,
Central,Matale,Matale,Kotuwegedara North,
Central,Matale,Matale,Koombiyangoda,
Central,Matale,Matale,Kotuwegedara South,
Central,Matale,Ambanganga Korale,Kumbaloluwa,
Central,Matale,Ambanganga Korale,Gammaduwa,
Central,Matale,Ambanganga Korale,Kalugalthenna,
Central,Matale,Ambanganga Korale,Naguliyadda,
Central,Matale,Ambanganga Korale,Kosgolla,
Central,Matale,Ambanganga Korale,Imbulgolla,
Central,Matale,Ambanganga Korale,Ranmuthugama,
Central,Matale,Ambanganga Korale,Raithalawa,
Central,Matale,Ambanganga Korale,Thibbatukanatha,
Central,Matale,Ambanganga Korale,Palle Eswedduma,
Central,Matale,Ambanganga Korale,Pallethenna,
Central,Matale,Ambanganga Korale,Pussella,
Central,Matale,Ambanganga Korale,Sirangahawatta,
Central,Matale,Ambanganga Korale,Kavudagammana,
Central,Matale,Ambanganga Korale,Narangolla,
Central,Matale,Ambanganga Korale,Hunukete,
Central,Matale,Ambanganga Korale,Metihakka,
Central,Matale,Ambanganga Korale,Aluthwela,
Central,Matale,Ambanganga Korale,Cloda,
Central,Matale,Ambanganga Korale,Gurubebila,
Central,Matale,Laggala-Pallegama,Maoya,
Central,Matale,Laggala-Pallegama,Kandepitawala,
Central,Matale,Laggala-Pallegama,Dewaladeniya,
Central,Matale,Laggala-Pallegama,Kaluganga,
Central,Matale,Laggala-Pallegama,Akarahediya,
Central,Matale,Laggala-Pallegama,Hattota Amuna,
Central,Matale,Laggala-Pallegama,Dasgiriya,
Central,Matale,Laggala-Pallegama,Morathenna,
Central,Matale,Laggala-Pallegama,Wellewala,
Central,Matale,Laggala-Pallegama,Weliwaranagolla,
Central,Matale,Laggala-Pallegama,Leloya,
Central,Matale,Laggala-Pallegama,Pottatawela,
Central,Matale,Laggala-Pallegama,Dammanthenna,
Central,Matale,Laggala-Pallegama,Gangalapuwakpitiya,
Central,Matale,Laggala-Pallegama,Divulgas Pathana,
Central,Matale,Laggala-Pallegama,Pitawala,
Central,Matale,Laggala-Pallegama,Kahagala,
Central,Matale,Laggala-Pallegama,Ilukkumbura,
Central,Matale,Laggala-Pallegama,Mahalakotuwa,
Central,Matale,Laggala-Pallegama,Ganga Henwala,
Central,Matale,Laggala-Pallegama,Karadamulla,
Central,Matale,Laggala-Pallegama,Gonawala,
