Central,Kandy,Thumpane,Meegahahena South
Central,Kandy,Thumpane,Meegahahena
Central,Kandy,Thumpane,Galabawa
Central,Kandy,Thumpane,Kobbegala
Central,Kandy,Thumpane,Ambagahahena
Central,Kandy,Thumpane,Rokhill
Central,Kandy,Thumpane,Akkarawatta
Central,Kandy,Thumpane,Bonakot
Central,Kandy,Thumpane,Haddapitiya
Central,Kandy,Thumpane,Delgasyaya
Central,Kandy,Thumpane,Gallenawatta
Central,Kandy,Thumpane,Kandanhena East
Central,Kandy,Thumpane,Namaltenna
Central,Kandy,Thumpane,Alawattegama
Central,Kandy,Thumpane,Kumburegama
Central,Kandy,Thumpane,Ban Anga
Central,Kandy,Thumpane,Ethamulla
Central,Kandy,Thumpane,Palukopi Watta
Central,Kandy,Thumpane,Damunugasthenna
Central,Kandy,Thumpane,Galagedara West
Central,Kandy,Thumpane,Udapitiya
Central,Kandy,Thumpane,Galagedara Madige South
Central,Kandy,Thumpane,Galagedara
Central,Kandy,Thumpane,Galagedara Madige
Central,Kandy,Thumpane,Pethigewela
Central,Kandy,Thumpane,Udalagama
Central,Kandy,Thumpane,Gunadaha
Central,Kandy,Thumpane,Medagoda Pahala
Central,Kandy,Thumpane,Opalla
Central,Kandy,Thumpane,Gangodapitiya
Central,Kandy,Thumpane,Pubbiliya
Central,Kandy,Thumpane,Kannadeniya
Central,Kandy,Thumpane,Barandara
Central,Kandy,Thumpane,Kaluwana
Central,Kandy,Thumpane,Kinigama West
Central,Kandy,Thumpane,Kinigama East
Central,Kandy,Thumpane,Ponnila
Central,Kandy,Thumpane,Uduwa
Central,Kandy,Thumpane,Medagoda Ihala
Central,Kandy,Thumpane,Naranwala
Central,Kandy,Thumpane,Hikgodawalpola
Central,Kandy,Thumpane,Paranagama
Central,Kandy,Thumpane,Wettewa
Central,Kandy,Thumpane,Pavulpawa
Central,Kandy,Thumpane,Kirindiwelpola
Central,Kandy,Thumpane,Kuragama North
Central,Kandy,Thumpane,Nikathenna
Central,Kandy,Thumpane,Etambegoda
Central,Kandy,Thumpane,Thahalpitiya
Central,Kandy,Thumpane,Dehideniya
Central,Kandy,Thumpane,Kandekumbura
Central,Kandy,Thumpane,Diyapalagoda
Central,Kandy,Thumpane,Niyangoda
Central,Kandy,Thumpane,Niyambepola
Central,Kandy,Thumpane,Henegama Palkumbura
Central,Kandy,Thumpane,Idamegama
Central,Kandy,Thumpane,Marawanagoda
Central,Kandy,Thumpane,Adungama Palkumbura
Central,Kandy,Thumpane,Kuragama
Central,Kandy,Thumpane,Udahenepola
Central,Kandy,Thumpane,Poholiyadda
Central,Kandy,Thumpane,Hiyadala
Central,Kandy,Thumpane,Pallekotuwa
Central,Kandy,Thumpane,Hiyadala Walpola
Central,Kandy,Thumpane,Minigamuwa
Central,Kandy,Thumpane,Minigamuwa Ihala
Central,Kandy,Thumpane,Thennewela
Central,Kandy,Pujapitiya,Egodamulla North
Central,Kandy,Pujapitiya,Ihalamulla
Central,Kandy,Pujapitiya,Dehiwatta
Central,Kandy,Pujapitiya,Egodamulla South
Central,Kandy,Pujapitiya,Pahala Kithulgolla
Central,Kandy,Pujapitiya,Alawatta
Central,Kandy,Pujapitiya,Uda Kithulgolla
Central,Kandy,Pujapitiya,Ankumbura South
Central,Kandy,Pujapitiya,Ankumbura North
Central,Kandy,Pujapitiya,Uggala Janapadaya
Central,Kandy,Pujapitiya,Pallegama Pahala
Central,Kandy,Pujapitiya,Welgala
Central,Kandy,Pujapitiya,Ankumbura Udagama
Central,Kandy,Pujapitiya,Kovilamuduna
Central,Kandy,Pujapitiya,Galhinna
Central,Kandy,Pujapitiya,Galkanda
Central,Kandy,Pujapitiya,Palliya Kotuwa
Central,Kandy,Pujapitiya,Batagolladeniya
Central,Kandy,Pujapitiya,Watagalathenna
Central,Kandy,Pujapitiya,Morankanda
Central,Kandy,Pujapitiya,Wewala North
Central,Kandy,Pujapitiya,Udahena
Central,Kandy,Pujapitiya,Siyapathgama
Central,Kandy,Pujapitiya,Pathirada
Central,Kandy,Pujapitiya,Udahingulwala
Central,Kandy,Pujapitiya,Pahala Hingulwala
Central,Kandy,Pujapitiya,Rambukewela
Central,Kandy,Pujapitiya,Godahena
Central,Kandy,Pujapitiya,Kahatagasthenna
Central,Kandy,Pujapitiya,Watagoda
Central,Kandy,Pujapitiya,Dolapihilla North
Central,Kandy,Pujapitiya,Dolapihilla South
Central,Kandy,Pujapitiya,Weligalla
Central,Kandy,Pujapitiya,Wewala
Central,Kandy,Pujapitiya,Bokkawala
Central,Kandy,Pujapitiya,Harankahawa
Central,Kandy,Pujapitiya,Henegama
Central,Kandy,Pujapitiya,Molagoda
Central,Kandy,Pujapitiya,Waldeniya
Central,Kandy,Pujapitiya,Medagoda
Central,Kandy,Pujapitiya,Diddeniya
Central,Kandy,Pujapitiya,Ovissa North
Central,Kandy,Pujapitiya,Ovissa South
Central,Kandy,Pujapitiya,Kiralagama
Central,Kandy,Pujapitiya,Paleepana
Central,Kandy,Pujapitiya,Dombagammana
Central,Kandy,Pujapitiya,Uggahakumbura
Central,Kandy,Pujapitiya,Marathugoda North
Central,Kandy,Pujapitiya,Marathugoda South
Central,Kandy,Pujapitiya,Ambaruppa
Central,Kandy,Pujapitiya,Gallella
Central,Kandy,Pujapitiya,Maruddana
Central,Kandy,Pujapitiya,Alagoda
Central,Kandy,Pujapitiya,Madadeniya
Central,Kandy,Pujapitiya,Warakadeniya
Central,Kandy,Pujapitiya,Batagalla North
Central,Kandy,Pujapitiya,Bamunupola
Central,Kandy,Pujapitiya,Batugoda North
Central,Kandy,Pujapitiya,Batagalla South
Central,Kandy,Pujapitiya,Batugoda South
Central,Kandy,Pujapitiya,Diwanawatta
Central,Kandy,Pujapitiya,Mullegama North
Central,Kandy,Pujapitiya,Kahawatta North
Central,Kandy,Pujapitiya,Kahawatta South
Central,Kandy,Pujapitiya,Mullegama South
Central,Kandy,Pujapitiya,Kaluwana South
Central,Kandy,Pujapitiya,Kaluwana North
Central,Kandy,Akurana,Rambuke Ela
Central,Kandy,Akurana,Vilana Udagama
Central,Kandy,Akurana,Vilana Pallegama
Central,Kandy,Akurana,Walahena
Central,Kandy,Akurana,Alawathugoda
